Time,Date,GameId,HomeTeam,AwayTeam,H,D,A,1X,X2,12,O25,U25
16:00,05/05/19,2687,HUDDERSFIELD,MANCHESTER UTD,8.49,4.77,1.38,3.10,1.08,1.16,1.65,2.35
16:00,05/05/19,2409,CHELSEA,WATFORD,1.36,5.10,8.41,1.09,3.15,1.16,1.60,2.45
18:30,05/05/19,3547,ARSENAL,BRIGHTON,1.36,4.95,8.70,1.08,3.15,1.16,1.65,2.35
22:00,06/05/19,2886,MANCHESTER CITY,LEICESTER,1.20,6.95,13.63,1.05,4.40,1.09,1.35,3.60
17:00,12/05/19,4004,TOTTENHAM,EVERTON,1.82,3.65,4.35,1.22,2.00,1.30,1.85,2.05
17:00,12/05/19,5513,FULHAM,NEWCASTLE,2.69,3.50,2.53,1.55,1.45,1.30,1.75,2.15
17:00,12/05/19,5078,LEICESTER,CHELSEA,3.54,3.59,2.04,1.75,1.30,1.30,1.80,2.10
17:00,12/05/19,4851,WATFORD,WEST HAM,2.09,3.59,3.38,1.30,1.75,1.30,1.65,2.35
17:00,12/05/19,3127,SOUTHAMPTON,HUDDERSFIELD,1.44,4.62,7.18,1.10,2.85,1.18,1.65,2.30
17:00,12/05/19,5569,CRYSTAL PALACE,BOURNEMOUTH,1.93,3.76,3.71,1.30,1.85,1.30,1.70,2.25
17:00,12/05/19,4389,MANCHESTER UTD,CARDIFF,1.21,6.76,12.70,1.04,4.55,1.09,1.30,3.80
17:00,12/05/19,4512,BURNLEY,ARSENAL,3.99,3.89,1.84,1.95,1.25,1.25,1.60,2.40
17:00,12/05/19,2960,LIVERPOOL,WOLVERHAMPTON,1.31,5.31,9.93,1.07,3.50,1.14,1.60,2.40
17:00,12/05/19,5253,BRIGHTON,MANCHESTER CITY,15.38,7.43,1.11,5.50,1.03,1.06,1.25,4.30
