Time,Date,Gid,HT,AT,H,D,A,1X,X2,12,O25,U25
22:45,29/01/19,1575,HUDDERSFIELD,EVERTON,4.20,3.40,1.94,1.80,1.22,1.30,2.15,1.65
22:45,29/01/19,2418,FULHAM,BRIGHTON,2.37,3.12,3.28,1.30,1.55,1.35,2.30,1.60
22:45,29/01/19,4979,WOLVERHAMPTON,WEST HAM,2.05,3.40,3.77,1.25,1.70,1.30,1.95,1.85
22:45,29/01/19,2375,ARSENAL,CARDIFF,1.32,5.43,9.23,1.06,3.05,1.12,1.50,2.60
23:00,29/01/19,4171,MANCHESTER UTD,BURNLEY,1.32,5.40,9.72,1.06,3.15,1.12,1.50,2.50
23:00,29/01/19,4918,NEWCASTLE,MANCHESTER CITY,11.67,5.97,1.26,3.50,1.04,1.09,1.45,2.60
22:45,30/01/19,3142,BOURNEMOUTH,CHELSEA,4.73,3.92,1.72,2.00,1.18,1.22,1.65,2.20
22:45,30/01/19,1079,SOUTHAMPTON,CRYSTAL PALACE,2.36,3.27,3.16,1.35,1.55,1.30,2.05,1.75
23:00,30/01/19,3968,TOTTENHAM,WATFORD,1.73,3.79,4.82,1.18,2.00,1.25,1.75,2.05
23:00,30/01/19,4641,LIVERPOOL,LEICESTER,1.28,5.68,11.36,1.05,3.40,1.10,1.50,2.55
15:30,02/02/19,4089,TOTTENHAM,NEWCASTLE,1.45,4.41,7.53,1.09,2.55,1.18,1.80,2.00
18:00,02/02/19,5893,BRIGHTON,WATFORD,2.87,3.19,2.60,1.45,1.40,1.35,2.15,1.65
18:00,02/02/19,4996,EVERTON,WOLVERHAMPTON,2.31,3.33,3.17,1.30,1.55,1.30,2.00,1.80
18:00,02/02/19,2895,CRYSTAL PALACE,FULHAM,1.95,3.57,3.95,1.25,1.75,1.25,1.95,1.85
18:00,02/02/19,3967,BURNLEY,SOUTHAMPTON,2.86,3.29,2.54,1.45,1.40,1.30,2.00,1.75
